algorithm,input,n,run,data_seed,pivot_seed,time_ns,time_ms,comparisons,max_depth
QuickSelect,duplicates,1000,3,33527,20312,15900,0.015900,1000,1
QuickSelect,duplicates,1000,4,33527,20313,38600,0.038600,1755,1
QuickSelect,duplicates,1000,5,33527,20314,33700,0.033700,1724,1
MergeSort,duplicates,10000,1,312527,173310,1569900,1.569900,121586,11
MergeSort,duplicates,10000,2,312527,173311,1571000,1.571000,121586,11
MergeSort,duplicates,10000,3,312527,173312,1562900,1.562900,121586,11
MergeSort,duplicates,10000,4,312527,173313,1570100,1.570100,121586,11
MergeSort,duplicates,10000,5,312527,173314,1565900,1.565900,121586,11
QuickSort,duplicates,10000,1,312527,173310,648200,0.648200,34836,2
QuickSort,duplicates,10000,2,312527,173311,558000,0.558000,35243,2
QuickSort,duplicates,10000,3,312527,173312,572500,0.572500,35061,2
QuickSort,duplicates,10000,4,312527,173313,490500,0.490500,33189,3
QuickSort,duplicates,10000,5,312527,173314,588400,0.588400,36999,2
QuickSelect,duplicates,10000,1,312527,173310,245900,0.245900,15870,1
QuickSelect,duplicates,10000,2,312527,173311,473100,0.473100,32920,1
QuickSelect,duplicates,10000,3,312527,173312,410400,0.410400,26183,1
QuickSelect,duplicates,10000,4,312527,173313,303400,0.303400,19148,1
QuickSelect,duplicates,10000,5,312527,173314,437800,0.437800,28909,1
MergeSort,duplicates,100000,1,3102527,1703310,10045900,10.045900,1561786,14
MergeSort,duplicates,100000,2,3102527,1703311,10016200,10.016200,1561786,14
MergeSort,duplicates,100000,3,3102527,1703312,16146100,16.146100,1561786,14
MergeSort,duplicates,100000,4,3102527,1703313,11699700,11.699700,1561786,14
MergeSort,duplicates,100000,5,3102527,1703314,16726200,16.726200,1561786,14
QuickSort,duplicates,100000,1,3102527,1703310,2092200,2.092200,289870,3
QuickSort,duplicates,100000,2,3102527,1703311,2332800,2.332800,330331,2
QuickSort,duplicates,100000,3,3102527,1703312,2273800,2.273800,310487,2
QuickSort,duplicates,100000,4,3102527,1703313,2289400,2.289400,330175,2
